Name,Jurisdiction Name,Y,X,Location 1,Single Member Council Districts,BOUNDARIES_single_member_districts,Neighborhood Planning Areas,Community Registry,Zipcodes,:@computed_region_a3it_2a2z
FS0018,AFD,30.317413,-97.690519,"6369 Berkman Dr
AUSTIN, TX 78723
(30.317413, -97.690519)",1,8,84,309,33,3239
FS0033,AFD,30.39873,-97.76723,"9409 Bluegrass Dr
AUSTIN, TX 78759
(30.39873, -97.76723)",10,5,,540,58,3647
FS0012,AFD,30.322331,-97.739816,"2109 Hancock Dr
AUSTIN, TX 78756
(30.322331, -97.739816)",7,7,74,217,7,3644
FS0045,AFD,30.482101,-97.766185,"9421 Spectrum Dr
AUSTIN, TX 78717
(30.482101, -97.766185)",6,6,,540,47,2862
FS0042,AFD,30.215175,-97.656381,"2434 Cardinal Loop
AUSTIN, TX 78617
(30.215175, -97.656381)",2,4,,248,45,8002
FS0028,AFD,30.419173,-97.701426,"2410 W Parmer Ln
AUSTIN, TX 78727
(30.419173, -97.701426)",7,7,,540,36,3243
FS0025,AFD,30.418169,-97.74259,"5228 Duval Rd
AUSTIN, TX 78727
(30.418169, -97.74259)",6,6,,540,36,3243
FS0009,AFD,30.306461,-97.729813,"4301 Speedway
AUSTIN, TX 78751
(30.306461, -97.729813)",9,10,21,217,65,3640
FS0038,AFD,30.446589,-97.801846,"10111 Anderson Mill Rd
AUSTIN, TX 78750
(30.446589, -97.801846)",6,6,,540,28,3639
FS0032,AFD,30.267265,-97.790248,"2804 Montebello Rd
AUSTIN, TX 78746
(30.267265, -97.790248)",8,2,,126,29,3260
FS0021,AFD,30.370906,-97.755809,"4201 Spicewood Springs Rd
AUSTIN, TX 78759
(30.370906, -97.755809)",10,5,,217,58,3647
FS0005,AFD,30.278099,-97.685082,"1201 Webberville Rd
AUSTIN, TX 78721
(30.278099, -97.685082)",1,8,34,309,62,2864
FS0017,AFD,30.224974,-97.771244,"4128 S 1st St
AUSTIN, TX 78745
(30.224974, -97.771244)",3,3,58,373,23,3259
